"staff_id","first_name","last_name","posiiton","hourly_rate"
"st001","Mindy","Sloan","Chef","17.25"
"st002","Luqman","Cantu","Head Chef","21.5"
"st003","Seren","Lindsey","Chef","17.25"
"st004","Arran","Hodgson","Head Chef","21.5"
"st005","Talha","Portillo","Chef","17.25"
"st006","Sana","Black","Head Chef","21.5"
"st007","Zachary","Robins","Chef","17.25"
"st008","Faraz","Peck","Head Chef","21.5"
"st009","Lilly-Rose","Vaughn","Delivery rider","14.5"
"st010","Desiree","Gardner","Delivery rider","14.5"
"st011","Ivan","English","Delivery rider","14.5"
"st012","Johnathon","Bradford","Delivery rider","14.5"
"st013","Matilda","Mccarty","Delivery rider","14.5"
"st014","Areeb","Vasquez","Delivery rider","14.5"
"st015","Amiyah","Lambert","Delivery rider","14.5"
"st016","Amrit","Greaves","Delivery rider","14.5"
